Account,VPC Name,Region,VPC CIDR,Subnet Name,Tier,AZ,Subnet CIDR,Prefix,IPs Requested,IPs Usable,Route Table,Subnet Type,Purpose
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-protected-a,protected,a,10.240.0.0/25,/25,60,123,rt-ingress-protected,Public,Public ALB
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-protected-b,protected,b,10.240.0.128/25,/25,60,123,rt-ingress-protected,Public,Public ALB
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-protected-c,protected,c,10.240.1.0/25,/25,60,123,rt-ingress-protected,Public,Public ALB
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-firewall-a,firewall,a,10.240.1.128/28,/28,8,11,rt-ingress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-firewall-b,firewall,b,10.240.1.144/28,/28,8,11,rt-ingress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-firewall-c,firewall,c,10.240.1.160/28,/28,8,11,rt-ingress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-tgw-a,tgw,a,10.240.1.176/28,/28,8,11,rt-ingress-tgw,Transit,TGW attachment ENIs
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-tgw-b,tgw,b,10.240.1.192/28,/28,8,11,rt-ingress-tgw,Transit,TGW attachment ENIs
Perimeter,vpc-ingress,{{ HomeRegion }},10.240.0.0/22,subnet-tgw-c,tgw,c,10.240.1.208/28,/28,8,11,rt-ingress-tgw,Transit,TGW attachment ENIs
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-public-a,public,a,10.240.4.0/28,/28,8,11,rt-egress-public,Public,NAT Gateways
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-public-b,public,b,10.240.4.16/28,/28,8,11,rt-egress-public,Public,NAT Gateways
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-public-c,public,c,10.240.4.32/28,/28,8,11,rt-egress-public,Public,NAT Gateways
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-firewall-a,firewall,a,10.240.4.48/28,/28,8,11,rt-egress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-firewall-b,firewall,b,10.240.4.64/28,/28,8,11,rt-egress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-firewall-c,firewall,c,10.240.4.80/28,/28,8,11,rt-egress-firewall,Firewall,NFW endpoints (reserved)
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-tgw-a,tgw,a,10.240.4.96/28,/28,8,11,rt-egress-tgw,Transit,TGW attachment ENIs
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-tgw-b,tgw,b,10.240.4.112/28,/28,8,11,rt-egress-tgw,Transit,TGW attachment ENIs
Perimeter,vpc-egress,{{ HomeRegion }},10.240.4.0/24,subnet-tgw-c,tgw,c,10.240.4.128/28,/28,8,11,rt-egress-tgw,Transit,TGW attachment ENIs
Network,vpc-inspection,{{ HomeRegion }},10.240.5.0/24,subnet-firewall-a,firewall,a,10.240.5.0/28,/28,8,11,rt-inspection-firewall,Firewall,AWS Network Firewall endpoints
Network,vpc-inspection,{{ HomeRegion }},10.240.5.0/24,subnet-firewall-b,firewall,b,10.240.5.16/28,/28,8,11,rt-inspection-firewall,Firewall,AWS Network Firewall endpoints
Network,vpc-inspection,{{ HomeRegion }},10.240.5.0/24,subnet-firewall-c,firewall,c,10.240.5.32/28,/28,8,11,rt-inspection-firewall,Firewall,AWS Network Firewall endpoints
Network,vpc-inspection,{{ HomeRegion }},10.240.5.0/24,subnet-tgw-a,tgw,a,10.240.5.48/28,/28,8,11,rt-inspection-tgw,Transit,TGW attachment (pre-inspection)
